S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,
1,8.75 % Prime Debenture 2085,9,870,853.7,870,180,154645.5,853.5,16.50 ,                                            
2,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,10,849.9,822.1,844.9,123,103140.4,838,6.90 ,                                            
3,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,8,542.5,503,542.5,70,36964.9,493.2,49.30 ,                                            
4,Agricultural Development Bank Limited,274,330,319.2,321,28991,9361424.8,327,-6.00 ,                                             
5,Ajod Insurance Limited,39,472,455,460,1303,598605.5,455,5.00 ,                                            
6,Ankhu Khola Jalvidhyut Company Ltd,152,209,200,203,19846,4065566,203,0.00 ,                                            
7,Api Power Company Ltd.,352,265,252,260,56754,14716489.3,255.8,4.20 ,                                            
8,Arun Kabeli Power Ltd.,327,444,421,437,55236,23914684.4,427,10.00 ,                                            
9,Arun Valley Hydropower Development Co. Ltd.,320,386.9,370,381,59562,22589657.7,375,6.00 ,                                            
10,Asha Laghubitta Bittiya Sanstha Ltd,22,1239,1191.1,1234.8,548,663700,1215,19.80 ,                                            
11,Asian Life Insurance Co. Limited,128,555,536.1,540,16838,9172823.8,546.9,-6.90 ,                                             
12,Balephi Hydropower Limited,632,274.3,230,259.9,10055,2535242,250,9.90 ,                                            
13,Barun Hydropower Co. Ltd.,105,455.8,430,446,17610,7812737.2,435.9,10.10 ,                                            
14,Best Finance Company Ltd.,48,369.2,350.1,358,3714,1325770.5,355,3.00 ,                                            
15,Bishal Bazar Company Limited,15,3558,3492,3500,170,596460,3425,75.00 ,                                            
16,Bottlers Nepal (Terai) Limited,3,12709.9,12700,12700,30,381099,12460.7,239.30 ,                                            
17,Buddha Bhumi Nepal Hydropower Company Limited,32,395,375,388,810,309627,390,-2.00 ,                                             
18,Butwal Power Company Limited,84,330,313,319,4411,1416222.4,314.5,4.50 ,                                            
19,CEDB Hydropower Development Company Limited,64,699,670.2,690,2625,1797648,677.9,12.10 ,                                            
20,Central Finance Co. Ltd.,94,283,260.1,273,10110,2764799,268,5.00 ,                                            
21,Century Commercial Bank Ltd.,248,197.9,190,193.7,44030,8547004.5,192,1.70 ,                                            
22,Chandragiri Hills Limited,49,1036.5,999,1005,2298,2324804,1017,-12.00 ,                                             
23,Chhimek Laghubitta Bittiya Sanstha Limited,219,990,960,975,10146,9900564.7,970,5.00 ,                                            
24,Chhyangdi Hydropower Ltd.,52,277.4,269,273,5111,1388153.6,269,4.00 ,                                            
25,Chilime Hydropower Company Limited,110,384,372,380,12656,4802774.9,379,1.00 ,                                            
26,Citizen Bank International Limited,119,220,213.7,217.7,17539,3812563.4,216.8,0.90 ,                                            
27,Citizen Investment Trust,133,2339,2285,2318.9,5927,13728089,2304,14.90 ,                                            
28,Citizens Mutual Fund -1,3,8.67,8.61,8.61,1725,14895.75,8.5,0.11 ,                                            
29,CITIZENS MUTUAL FUND 2,2,9.39,9.22,9.39,1600,14769,9.25,0.14 ,                                            
30,Civil Bank Ltd,315,211,202,209,227340,47119785.5,201.9,7.10 ,                                            
31,Civil Laghubitta Bittiya Sanstha Ltd.,15,754,731,745,649,478982.7,730,15.00 ,                                            
32,Corporate Development Bank Limited,67,293,275,287,6250,1785434.7,285,2.00 ,                                            
33,Deprosc Laghubitta Bittiya Sanstha Limited,56,975,947,958,1746,1675254.1,945,13.00 ,                                            
34,Dibyashwori Hydropower Ltd.,70,220,208,215,8486,1792876,212,3.00 ,                                            
35,Emerging Nepal Limited,19,680,641.1,655,600,394755.9,654,1.00 ,                                            
36,Everest Bank Limited,96,452,438.2,445,8950,3983396,447,-2.00 ,                                             
37,Excel Development Bank Ltd.,18,353.9,347,353,1774,618558.4,347,6.00 ,                                            
38,First Micro Finance Laghubitta Bittiya Sanstha Limited,50,632,616,623,3456,2148780.1,614,9.00 ,                                            
39,Forward Microfinance Laghubitta Bittiya Sanstha Limited,76,2319,2280,2307,2027,4666016.5,2289,18.00 ,                                            
40,Ganapati Laghubitta Bittiya Sanstha Limited,26,948.9,900,948.9,574,523260,949,-0.10 ,                                             
